xpos,ypos,distpinx,distpiny,distpin,distfrx,distfry,distfr,ditpinfrx,predpin,coinc1,strat1,strat2,Voto1,VotoPF,VotoPE,MBP22_A,MBP22_B,MBP22_C,MBP22_D,MBP22_E,MBP22_F,MBP02,MBP03,MBP04,MBP05,MBP07,MBP15,MBP21_A,MBP21_B,MBP21_C,MBP21_D,correct,correct2,NSE,vote
-0.634219366,-0.053677165,1.640603557,1.631224369,2.313541219,0.898615094,0.358589118,0.967520151,0.741988463,1,1,0,0,1,1,1,2,2,2,2,1,1,2,1,3,2,1,1,3,6,4,1,1,0,3,1
0.033120275,0.036783792,0.973263915,1.721685325,1.97773684,0.231275452,0.449050074,0.50510821,0.741988463,1,0,0,0,2,2,4,2,1,1,2,1,1,3,1,2,2,1,2,4,10,9,1,1,0,2,0
0.217136726,-0.468670794,0.789247464,1.21623074,1.449871985,0.047259001,0.056404511,0.073585882,0.741988463,1,0,1,0,4,2,4,2,2,2,2,2,1,3,3,3,8,1,2,2,10,3,4,0,0,2,0
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,1,0,4,5,4,1,1,1,1,1,1,1,2,1,3,1,2,5,10,4,2,1,1,3,0
0.288955222,-0.973822454,0.717428969,0.711079079,1.010117707,0.024559494,0.561556172,0.562092966,0.692869474,1,0,0,0,2,2,4,2,2,2,2,1,1,3,1,2,2,1,2,5,10,4,3,1,1,3,0
1.039504466,-1.648117741,0.033120275,0.036783792,0.049497475,0.775108738,1.235851459,1.458808549,-0.741988463,0,0,0,0,1,1,1,1,1,1,1,1,1,3,1,3,2,1,1,4,9,5,4,0,0,3,1
0.394653411,0.279235758,0.611730779,1.964137291,2.057194654,0.130257684,0.69150204,0.703663368,0.481473095,1,1,0,0,1,2,1,3,3,2,1,1,1,3,2,3,3,1,1,4,10,5,2,1,0,2,0
0.492398067,0.330125587,0.513986124,2.01502712,2.079547073,0.228002339,0.742391869,0.776614933,0.285983784,1,1,0,0,1,1,1,3,3,3,3,1,1,4,1,4,1,1,1,5,10,4,2,1,1,2,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,2,2,4,1,2,1,2,1,1,3,1,3,2,1,2,5,10,4,1,1,1,2,0
0.412592305,-1.778295559,0.593791886,0.093394026,0.601091713,0.148196577,1.366029277,1.374044472,0.445595309,1,0,1,1,4,1,4,2,3,2,2,1,1,3,2,2,3,1,2,5,10,4,3,1,1,3,1
0.401153177,-0.974125379,0.605231013,0.710776154,0.933545564,0.13675745,0.561859097,0.578263128,0.468473564,1,0,0,0,5,2,4,3,3,1,2,1,2,4,2,3,3,1,5,6,10,4,2,1,1,3,0
